Delivery_person_Age,Delivery_person_Ratings,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_Orderd_hour,Delivery_city
35.0,4.6,1900-01-01 17:30:00,Windy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,17,RANCHI
38.0,4.7,1900-01-01 13:40:00,Sandstorms,High,2,Buffet,motorcycle,1.0,No,Metropolitian,13,RANCHI
36.0,4.8,1900-01-01 22:40:00,Stormy,Low,2,Drinks,electric_scooter,0.0,No,Urban,22,HYD
27.0,5.0,1900-01-01 16:40:00,Stormy,Medium,2,Drinks,motorcycle,0.0,No,Metropolitian,16,INDO
38.0,4.7,1900-01-01 20:55:00,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,20,KOL
29.0,4.4,1900-01-01 08:40:00,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,8,MUM
36.0,4.7,1900-01-01 22:25:00,Windy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,22,BANG
28.0,4.6,1900-01-01 10:35:00,Sandstorms,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,10,RANCHI
23.0,4.2,1900-01-01 18:55:00,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,18,AGR
38.0,4.9,1900-01-01 19:25:00,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,19,ALH
,,1900-01-01 20:40:00,Stormy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,20,CHEN
28.0,4.1,1900-01-01 20:45:00,Fog,Jam,2,Buffet,scooter,2.0,No,Metropolitian,20,DEH
38.0,4.8,1900-01-01 17:40:00,Sunny,Medium,2,Meal,scooter,0.0,No,Urban,17,GOA
36.0,4.2,1900-01-01 18:45:00,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,18,PUNE
34.0,4.7,1900-01-01 18:05:00,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,,MYS
20.0,5.0,1900-01-01 22:20:00,Windy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,22,BANG
33.0,4.7,1900-01-01 19:30:00,Sunny,Jam,1,Buffet,scooter,0.0,No,Metropolitian,19,JAP
34.0,5.0,1900-01-01 08:15:00,Cloudy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,8,RANCHI
28.0,4.5,1900-01-01 18:50:00,Sunny,Medium,1,Buffet,scooter,0.0,No,Metropolitian,18,KOC
20.0,4.9,1900-01-01 10:50:00,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,10,RANCHI
36.0,4.7,1900-01-01 23:50:00,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,23,MUM
30.0,4.8,1900-01-01 18:25:00,Windy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,18,RANCHI
22.0,4.1,1900-01-01 17:40:00,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Urban,17,MUM
32.0,4.9,1900-01-01 18:10:00,Fog,Medium,2,Snack,scooter,1.0,No,Urban,,CHEN
25.0,4.8,1900-01-01 10:10:00,Cloudy,Low,2,Meal,motorcycle,1.0,No,Metropolitian,,MUM
31.0,4.8,1900-01-01 11:25:00,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,11,COIMB
20.0,4.9,1900-01-01 21:15:00,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,,SUR
23.0,4.6,1900-01-01 19:35:00,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,19,HYD
37.0,4.7,1900-01-01 08:30:00,Stormy,Low,2,Snack,scooter,1.0,No,Metropolitian,8,BHP
35.0,4.9,1900-01-01 09:30:00,Stormy,Low,2,Buffet,scooter,0.0,No,Urban,9,RANCHI
39.0,4.8,1900-01-01 18:45:00,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,18,PUNE
20.0,4.8,1900-01-01 11:55:00,Cloudy,High,1,Snack,scooter,1.0,No,Metropolitian,11,JAP
39.0,4.6,1900-01-01 21:15:00,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,21,COIMB
35.0,4.9,1900-01-01 23:05:00,Sunny,Low,1,Meal,scooter,,No,Urban,,MUM
28.0,4.7,1900-01-01 20:05:00,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,19,KOC
36.0,4.5,1900-01-01 21:10:00,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,20,AGR
20.0,,,Cloudy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,20,KOC
32.0,4.3,1900-01-01 19:05:00,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,,COIMB
