Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance,Time_Orderd_hour,Delivery_city
38.0,4.7,Sandstorms,High,2,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.517566837272,13,RANCHI
36.0,4.8,Stormy,Low,2,Drinks,electric_scooter,0.0,No,Urban,17,20002.489128057772,22,HYD
27.0,5.0,Stormy,Medium,2,Drinks,motorcycle,0.0,No,Metropolitian,24,20002.517553570793,16,INDO
38.0,4.7,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,46,20002.505871542133,20,KOL
29.0,4.4,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,16,20002.520241835857,8,MUM
36.0,4.7,Windy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,19,20002.488477146824,22,BANG
28.0,4.6,Sandstorms,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,18,20002.519710714583,10,RANCHI
23.0,4.2,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,36,20002.50930953508,18,AGR
38.0,4.9,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,29,20002.514089318665,19,ALH
,,Stormy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,31,20002.51570035783,20,CHEN
28.0,4.1,Fog,Jam,2,Buffet,scooter,2.0,No,Metropolitian,40,20002.491840716462,20,DEH
38.0,4.8,Sunny,Medium,2,Meal,scooter,0.0,No,Urban,28,20002.511262979893,17,GOA
36.0,4.2,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,20002.51379705585,18,PUNE
34.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,28,20002.51360235362,,MYS
20.0,5.0,Windy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,16,20002.513620114,22,BANG
33.0,4.7,Sunny,Jam,1,Buffet,scooter,0.0,No,Metropolitian,26,20002.49937076237,19,JAP
34.0,5.0,Cloudy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,18,20002.520246707667,8,RANCHI
28.0,4.5,Sunny,Medium,1,Buffet,scooter,0.0,No,Metropolitian,15,20002.513548803687,18,KOC
20.0,4.9,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.520246727137,10,RANCHI
36.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,29,20002.50554574344,23,MUM
30.0,4.8,Windy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,25,20002.51167074912,18,RANCHI
22.0,4.1,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Urban,38,20002.498224789342,17,MUM
32.0,4.9,Fog,Medium,2,Snack,scooter,1.0,No,Urban,17,20002.51872416111,,CHEN
25.0,4.8,Cloudy,Low,2,Meal,motorcycle,1.0,No,Metropolitian,19,20002.52024180906,,MUM
31.0,4.8,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,30,20002.519663759347,11,COIMB
20.0,4.9,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,25,20002.489793964698,,SUR
23.0,4.6,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,33,20002.489133782867,19,HYD
37.0,4.7,Stormy,Low,2,Snack,scooter,1.0,No,Metropolitian,23,20002.520246590557,8,BHP
35.0,4.9,Stormy,Low,2,Buffet,scooter,0.0,No,Urban,23,20002.519710596585,9,RANCHI
39.0,4.8,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,31,20002.518768367085,18,PUNE
20.0,4.8,Cloudy,High,1,Snack,scooter,1.0,No,Metropolitian,22,20002.519729092113,11,JAP
39.0,4.6,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.513571040923,21,COIMB
35.0,4.9,Sunny,Low,1,Meal,scooter,,No,Urban,24,20002.511436363893,,MUM
28.0,4.7,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.48814677834,19,KOC
36.0,4.5,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,40,20002.506357602855,20,AGR
20.0,,Cloudy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,28,20002.518706256375,20,KOC
32.0,4.3,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,32,20002.51109616381,,COIMB
39.0,4.5,Sandstorms,Low,2,Meal,motorcycle,0.0,No,Metropolitian,22,20002.518861889206,,AGR
28.0,4.6,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Urban,10,20002.51875812603,23,HYD
36.0,4.5,Fog,Low,1,Meal,scooter,1.0,No,Metropolitian,19,20002.519710507688,10,RANCHI
21.0,4.9,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,35,20002.511801613775,21,ALH
23.0,4.6,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,30,20002.498495527376,19,SUR
25.0,4.7,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,37,20002.50916203879,21,ALH
27.0,4.7,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,23,20002.50574319471,22,SUR
22.0,4.7,Windy,High,0,Snack,motorcycle,0.0,No,Metropolitian,29,20002.519689258963,11,PUNE
24.0,4.8,Stormy,Low,2,Snack,scooter,0.0,No,Urban,11,20002.498720292584,22,INDO
32.0,5.0,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,39,20002.48931451951,17,PUNE
30.0,4.4,Stormy,Jam,1,Drinks,motorcycle,2.0,No,Urban,39,20002.5055138727,20,PUNE
